% Version 1.00
%
%freq[Hz],db:Trc1_S11,ang:Trc1_S11,
2.275000000000000E+009,-6.496831528652502E+000,-5.023593203414306E+001,
2.280000000000000E+009,-6.711298990327656E+000,-5.165077686818711E+001,
2.285000000000000E+009,-6.941168197467068E+000,-5.328277003592456E+001,
2.290000000000000E+009,-7.164913590224805E+000,-5.492539962042750E+001,
2.295000000000000E+009,-7.380780874850422E+000,-5.641586442638821E+001,
2.300000000000000E+009,-7.605972427943108E+000,-5.785036922800254E+001,
2.305000000000000E+009,-7.856016459169664E+000,-5.963990607726251E+001,
2.310000000000000E+009,-8.088504691762736E+000,-6.154768361417401E+001,
2.315000000000000E+009,-8.316293288213199E+000,-6.338388948895503E+001,
2.320000000000000E+009,-8.541365622092599E+000,-6.514342560876145E+001,
2.325000000000000E+009,-8.802933619318765E+000,-6.765043689865064E+001,
2.330000000000000E+009,-9.064949414380145E+000,-7.013598839985566E+001,
2.335000000000000E+009,-9.332566469893109E+000,-7.252141562197724E+001,
2.340000000000000E+009,-9.609722127688047E+000,-7.484830281872686E+001,
2.345000000000000E+009,-9.917738042756739E+000,-7.808667162843078E+001,
2.350000000000000E+009,-1.022344998051826E+001,-8.132824321879377E+001,
2.355000000000000E+009,-1.053550180425127E+001,-8.450499391631026E+001,
2.360000000000000E+009,-1.087662080879379E+001,-8.772373791310257E+001,
2.365000000000000E+009,-1.121933708518504E+001,-9.185904525205127E+001,
2.370000000000000E+009,-1.156447259644608E+001,-9.611866258888665E+001,
2.375000000000000E+009,-1.194103249695396E+001,-1.005595058569356E+002,
2.380000000000000E+009,-1.237209036348773E+001,-1.051554712490121E+002,
2.385000000000000E+009,-1.276736856397452E+001,-1.104184525625936E+002,
2.390000000000000E+009,-1.314361498546099E+001,-1.158515990043401E+002,
2.395000000000000E+009,-1.352287741216829E+001,-1.217161577964822E+002,
2.400000000000000E+009,-1.391899742769149E+001,-1.279542517084387E+002,
2.405000000000000E+009,-1.422966723869017E+001,-1.348272622990620E+002,
2.410000000000000E+009,-1.451501245533480E+001,-1.418141190791006E+002,
2.415000000000000E+009,-1.477448436698168E+001,-1.491501448905163E+002,
2.420000000000000E+009,-1.500878257518980E+001,-1.567436448189019E+002,
2.425000000000000E+009,-1.509610430635276E+001,-1.641827733464291E+002,
2.430000000000000E+009,-1.513422910646030E+001,-1.715257401105613E+002,
2.435000000000000E+009,-1.511837473637000E+001,-1.787451402155079E+002,
2.440000000000000E+009,-1.502929972507848E+001,1.741908600495269E+002,
2.445000000000000E+009,-1.480460195333965E+001,1.679226651629183E+002,
2.450000000000000E+009,-1.455637364910674E+001,1.618612168592919E+002,
2.455000000000000E+009,-1.430267981922394E+001,1.560870741392036E+002,
2.460000000000000E+009,-1.401173858159418E+001,1.506123714684684E+002,
2.465000000000000E+009,-1.367314537634309E+001,1.461054588961996E+002,
2.470000000000000E+009,-1.334886230763358E+001,1.417850902973320E+002,
2.475000000000000E+009,-1.301347978153680E+001,1.376592972681127E+002,
2.480000000000000E+009,-1.266655877490475E+001,1.337024777400903E+002,
2.485000000000000E+009,-1.235765498424875E+001,1.305615461272441E+002,
2.490000000000000E+009,-1.205560808192812E+001,1.275076475018546E+002,
2.495000000000000E+009,-1.175254479048382E+001,1.245119357521762E+002,
2.500000000000000E+009,-1.145292081471647E+001,1.215803118323216E+002,
2.505000000000000E+009,-1.122185879789459E+001,1.193177856492720E+002,
2.510000000000000E+009,-1.099678980579968E+001,1.170778659826405E+002,
2.515000000000000E+009,-1.076460477277725E+001,1.149105157350251E+002,
2.520000000000000E+009,-1.051390905119092E+001,1.128166124880147E+002,
2.525000000000000E+009,-1.033869898565657E+001,1.111986276450548E+002,
2.530000000000000E+009,-1.017055486590137E+001,1.095389971392421E+002,
2.535000000000000E+009,-9.987021722364029E+000,1.079438731278222E+002,
2.540000000000000E+009,-9.795303340233543E+000,1.064079514984156E+002,
2.545000000000000E+009,-9.675304283093846E+000,1.052692727452792E+002,
2.550000000000000E+009,-9.547849467201244E+000,1.041098070699415E+002,
2.555000000000000E+009,-9.411643030879505E+000,1.029966710971349E+002,
2.560000000000000E+009,-9.250022893356123E+000,1.020495108973143E+002,
2.565000000000000E+009,-9.140332984230597E+000,1.013772511247992E+002,
2.570000000000000E+009,-9.015002822980657E+000,1.006802060118966E+002,
2.575000000000000E+009,-8.872935664138193E+000,1.000724772295202E+002,
2.580000000000000E+009,-8.703518971103980E+000,9.955373973268013E+001,
2.585000000000000E+009,-8.574897801250453E+000,9.916918700822743E+001,
2.590000000000000E+009,-8.431674062707989E+000,9.881388989991262E+001,
2.595000000000000E+009,-8.263342746800175E+000,9.850594826793090E+001,
2.600000000000000E+009,-8.073230218931025E+000,9.825557947417522E+001,
2.605000000000000E+009,-7.901321349433178E+000,9.806480009507783E+001,
2.610000000000000E+009,-7.705914460019538E+000,9.781474377038565E+001,
2.615000000000000E+009,-7.494809110755829E+000,9.751188782485446E+001,
2.620000000000000E+009,-7.269806852494471E+000,9.724065566429748E+001,
2.625000000000000E+009,-7.065393165754357E+000,9.691495627693287E+001,
2.630000000000000E+009,-6.850501873251483E+000,9.650762357455447E+001,
2.635000000000000E+009,-6.621641051031094E+000,9.607417990801359E+001,
2.640000000000000E+009,-6.391022896636621E+000,9.566470611264809E+001,
2.645000000000000E+009,-6.180697024747061E+000,9.510167633597952E+001,
2.650000000000000E+009,-5.961790710607931E+000,9.448541012540510E+001,
2.655000000000000E+009,-5.738580667030714E+000,9.384986622588637E+001,
2.660000000000000E+009,-5.520454541365121E+000,9.318955149063990E+001,
2.665000000000000E+009,-5.321925445847591E+000,9.234913790937713E+001,
2.670000000000000E+009,-5.122098683409449E+000,9.148402428421166E+001,
2.675000000000000E+009,-4.934385386304559E+000,9.061729329598020E+001,
2.680000000000000E+009,-4.757439755874413E+000,8.977339039558535E+001,
2.685000000000000E+009,-4.598419809156594E+000,8.869590380881458E+001,
2.690000000000000E+009,-4.444029795213512E+000,8.762095596997868E+001,
2.695000000000000E+009,-4.299444019356106E+000,8.662661438546380E+001,
2.700000000000000E+009,-4.159637102625692E+000,8.568824591265687E+001,
2.705000000000000E+009,-4.039729905577974E+000,8.452059957670035E+001,
2.710000000000000E+009,-3.930138598137430E+000,8.340578469787452E+001,
2.715000000000000E+009,-3.831407056625691E+000,8.241200065255912E+001,
2.720000000000000E+009,-3.735424355443094E+000,8.158573719380817E+001,
2.725000000000000E+009,-3.649963523046026E+000,8.047160517634319E+001,
2.730000000000000E+009,-3.569837998476833E+000,7.941442018502376E+001,
2.735000000000000E+009,-3.495210913374478E+000,7.849278089488871E+001,
2.740000000000000E+009,-3.426326604505585E+000,7.773835349532790E+001,
2.745000000000000E+009,-3.358363291282926E+000,7.671922814531035E+001,
2.750000000000000E+009,-3.291536164458756E+000,7.578640817467695E+001,
2.755000000000000E+009,-3.225856657042717E+000,7.494425282632743E+001,
2.760000000000000E+009,-3.167140842486805E+000,7.425603355478546E+001,
2.765000000000000E+009,-3.112398870425006E+000,7.334516900078302E+001,
2.770000000000000E+009,-3.057336392305107E+000,7.249429097232887E+001,
