Frequency in GHz,\mathcal{R}e(sub-2\Z2.in),Frequency in GHz,\mathcal{I}m(sub-2\Z2.in)
5.53375,0.468006,5.53375,0.204025
5.5625,0.51528,5.5625,0.176922
5.59125,0.56112,5.59125,0.137756
5.62,0.601402,5.62,0.0856965
5.64875,0.631217,5.64875,0.0217568
5.6775,0.645943,5.6775,-0.0506394
5.70625,0.642702,5.70625,-0.125883
5.735,0.621491,5.735,-0.197417
5.76375,0.585267,5.76375,-0.25951
5.7925,0.538893,5.7925,-0.308633
5.82125,0.487607,5.82125,-0.343818
5.85,0.435822,5.85,-0.366113
5.87875,0.386596,5.87875,-0.377672
5.9075,0.341658,5.9075,-0.380962
5.93625,0.301725,5.93625,-0.378266
5.965,0.266852,5.965,-0.371472
5.99375,0.236725,5.99375,-0.362027
6.0225,0.210856,6.0225,-0.350992
6.05125,0.18871,6.05125,-0.339117
6.08,0.169765,6.08,-0.326915
6.10875,0.153548,6.10875,-0.314729
6.1375,0.139644,6.1375,-0.302781
6.16625,0.127699,6.16625,-0.291207
6.195,0.11741,6.195,-0.280088
6.22375,0.108526,6.22375,-0.269463
6.2525,0.100834,6.2525,-0.259348
6.28125,0.0941596,6.28125,-0.249739
6.31,0.0883538,6.31,-0.240622
6.33875,0.0832935,6.33875,-0.231979
6.3675,0.0788754,6.3675,-0.223785
6.39625,0.0750124,6.39625,-0.216015
6.425,0.0716312,6.425,-0.208643
6.45375,0.0686698,6.45375,-0.201644
6.4825,0.0660759,6.4825,-0.194993
6.51125,0.0638046,6.51125,-0.188666
6.54,0.061818,6.54,-0.182641
6.56875,0.0600834,6.56875,-0.176899
6.5975,0.058573,6.5975,-0.171419
6.62625,0.0572628,6.62625,-0.166183
6.655,0.0561321,6.655,-0.161176
6.68375,0.0551632,6.68375,-0.156382
6.7125,0.0543407,6.7125,-0.151788
6.74125,0.0536512,6.74125,-0.14738
6.77,0.0530832,6.77,-0.143146
6.79875,0.0526265,6.79875,-0.139078
6.8275,0.0522725,6.8275,-0.135164
6.85625,0.0520135,6.85625,-0.131396
6.885,0.0518427,6.885,-0.127767
6.91375,0.0517543,6.91375,-0.124268
6.9425,0.0517428,6.9425,-0.120894
6.97125,0.0518037,6.97125,-0.117639
7,0.0519326,7,-0.114499
