# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S11 ang:Trc2_S11 db:Trc3_S11 ang:Trc3_S11 db:Trc4_S11 ang:Trc4_S11 
2.005000000000000E+009 -7.650096202387049E+000 -8.941281691481225E+001 -7.650096202387049E+000 -8.941281691481225E+001 -7.650096202387049E+000 -8.941281691481225E+001 -7.650096202387049E+000 -8.941281691481225E+001 
2.010000000000000E+009 -8.058808628511697E+000 -9.071639176628460E+001 -8.058808628511697E+000 -9.071639176628460E+001 -8.058808628511697E+000 -9.071639176628460E+001 -8.058808628511697E+000 -9.071639176628460E+001 
2.015000000000000E+009 -8.457669417269536E+000 -9.240487559121169E+001 -8.457669417269536E+000 -9.240487559121169E+001 -8.457669417269536E+000 -9.240487559121169E+001 -8.457669417269536E+000 -9.240487559121169E+001 
2.020000000000000E+009 -8.835351567212074E+000 -9.447229866654078E+001 -8.835351567212074E+000 -9.447229866654078E+001 -8.835351567212074E+000 -9.447229866654078E+001 -8.835351567212074E+000 -9.447229866654078E+001 
2.025000000000000E+009 -9.168789072594791E+000 -9.697257550629685E+001 -9.168789072594791E+000 -9.697257550629685E+001 -9.168789072594791E+000 -9.697257550629685E+001 -9.168789072594791E+000 -9.697257550629685E+001 
2.030000000000000E+009 -9.442885342797228E+000 -9.987487731079753E+001 -9.442885342797228E+000 -9.987487731079753E+001 -9.442885342797228E+000 -9.987487731079753E+001 -9.442885342797228E+000 -9.987487731079753E+001 
2.035000000000000E+009 -9.633113372051858E+000 -1.031453573273955E+002 -9.633113372051858E+000 -1.031453573273955E+002 -9.633113372051858E+000 -1.031453573273955E+002 -9.633113372051858E+000 -1.031453573273955E+002 
2.040000000000000E+009 -9.744872749728698E+000 -1.067715503859030E+002 -9.744872749728698E+000 -1.067715503859030E+002 -9.744872749728698E+000 -1.067715503859030E+002 -9.744872749728698E+000 -1.067715503859030E+002 
2.045000000000000E+009 -9.762120479219169E+000 -1.105679604892871E+002 -9.762120479219169E+000 -1.105679604892871E+002 -9.762120479219169E+000 -1.105679604892871E+002 -9.762120479219169E+000 -1.105679604892871E+002 
2.050000000000000E+009 -9.718659619381651E+000 -1.143935834923109E+002 -9.718659619381651E+000 -1.143935834923109E+002 -9.718659619381651E+000 -1.143935834923109E+002 -9.718659619381651E+000 -1.143935834923109E+002 
2.055000000000000E+009 -9.613239761481358E+000 -1.178481263671709E+002 -9.613239761481358E+000 -1.178481263671709E+002 -9.613239761481358E+000 -1.178481263671709E+002 -9.613239761481358E+000 -1.178481263671709E+002 
2.060000000000000E+009 -9.431520545570546E+000 -1.208078990299949E+002 -9.431520545570546E+000 -1.208078990299949E+002 -9.431520545570546E+000 -1.208078990299949E+002 -9.431520545570546E+000 -1.208078990299949E+002 
