Frequency in GHz,\mathcal{R}e(sub-2\Z2.in),Frequency in GHz,\mathcal{I}m(sub-2\Z2.in)
4.025,0.255293,4.025,0.373882
4.04375,0.367824,4.04375,0.415642
4.0625,0.542967,4.0625,0.42099
4.08125,0.772244,4.08125,0.310311
4.1,0.919982,4.1,0.0140505
4.11875,0.820256,4.11875,-0.31303
4.1375,0.590519,4.1375,-0.463312
4.15625,0.399462,4.15625,-0.474679
4.175,0.274502,4.175,-0.436419
4.19375,0.196184,4.19375,-0.388964
4.2125,0.146073,4.2125,-0.345062
4.23125,0.112749,4.23125,-0.307202
4.25,0.089847,4.25,-0.275147
4.26875,0.0735572,4.26875,-0.248051
4.2875,0.0616323,4.2875,-0.224923
4.30625,0.0527318,4.30625,-0.205002
4.325,0.0459395,4.325,-0.187675
4.34375,0.0406802,4.34375,-0.172421
4.3625,0.0365756,4.3625,-0.15887
4.38125,0.0333344,4.38125,-0.146722
4.4,0.0307712,4.4,-0.135721
4.41875,0.0287528,4.41875,-0.125686
4.4375,0.0271679,4.4375,-0.116457
4.45625,0.025949,4.45625,-0.107901
4.475,0.0250442,4.475,-0.0999174
4.49375,0.0244086,4.49375,-0.0924145
4.5125,0.02402,4.5125,-0.0853124
4.53125,0.0238622,4.53125,-0.0785503
4.55,0.0239229,4.55,-0.0720688
4.56875,0.0242053,4.56875,-0.0658143
4.5875,0.024718,4.5875,-0.059745
4.60625,0.0254745,4.60625,-0.0538179
4.625,0.0265049,4.625,-0.0479933
4.64375,0.0278492,4.64375,-0.0422413
4.6625,0.0295598,4.6625,-0.0365319
4.68125,0.0317153,4.68125,-0.0308418
4.7,0.03442,4.7,-0.0251654
4.71875,0.0378094,4.71875,-0.0195138
4.7375,0.0420743,4.7375,-0.013934
4.75625,0.0474623,4.75625,-0.00854993
4.775,0.0542823,4.775,-0.00360164
4.79375,0.0629045,4.79375,0.000455735
4.8125,0.0736593,4.8125,0.0027912
4.83125,0.0865753,4.83125,0.00205106
4.85,0.100831,4.85,-0.00368431
4.86875,0.113847,4.86875,-0.0162843
4.8875,0.121076,4.8875,-0.0356259
4.90625,0.118311,4.90625,-0.057614
4.925,0.105649,4.925,-0.0756057
4.94375,0.0878901,4.94375,-0.0853938
4.9625,0.0702307,4.9625,-0.0873431
4.98125,0.0554085,4.98125,-0.0840686
5,0.0439798,5,-0.0780819
