# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S11 ang:Trc2_S11 db:Trc3_S11 ang:Trc3_S11 db:Trc4_S11 ang:Trc4_S11 
2,125000000000000E+009 -3,910422310229698E+000 -1,077928953791600E+001 -3,910422310229698E+000 -1,077928953791600E+001 -3,910422310229698E+000 -1,077928953791600E+001 -3,910422310229698E+000 -1,077928953791600E+001 
2,130000000000000E+009 -3,916106360502931E+000 -1,214718185124487E+001 -3,916106360502931E+000 -1,214718185124487E+001 -3,916106360502931E+000 -1,214718185124487E+001 -3,916106360502931E+000 -1,214718185124487E+001 
2,135000000000000E+009 -3,911203523585709E+000 -1,363832616465450E+001 -3,911203523585709E+000 -1,363832616465450E+001 -3,911203523585709E+000 -1,363832616465450E+001 -3,911203523585709E+000 -1,363832616465450E+001 
2,140000000000000E+009 -3,901565537875781E+000 -1,521483746938492E+001 -3,901565537875781E+000 -1,521483746938492E+001 -3,901565537875781E+000 -1,521483746938492E+001 -3,901565537875781E+000 -1,521483746938492E+001 
2,145000000000000E+009 -3,926963854779865E+000 -1,643484126651530E+001 -3,926963854779865E+000 -1,643484126651530E+001 -3,926963854779865E+000 -1,643484126651530E+001 -3,926963854779865E+000 -1,643484126651530E+001 
2,150000000000000E+009 -3,959635085942259E+000 -1,779406099970374E+001 -3,959635085942259E+000 -1,779406099970374E+001 -3,959635085942259E+000 -1,779406099970374E+001 -3,959635085942259E+000 -1,779406099970374E+001 
2,155000000000000E+009 -4,003200301272753E+000 -1,931530709369681E+001 -4,003200301272753E+000 -1,931530709369681E+001 -4,003200301272753E+000 -1,931530709369681E+001 -4,003200301272753E+000 -1,931530709369681E+001 
2,160000000000000E+009 -4,041144876827637E+000 -2,090672283751147E+001 -4,041144876827637E+000 -2,090672283751147E+001 -4,041144876827637E+000 -2,090672283751147E+001 -4,041144876827637E+000 -2,090672283751147E+001 
2,165000000000000E+009 -4,110248819737589E+000 -2,218683732351438E+001 -4,110248819737589E+000 -2,218683732351438E+001 -4,110248819737589E+000 -2,218683732351438E+001 -4,110248819737589E+000 -2,218683732351438E+001 
2,170000000000000E+009 -4,183801462178761E+000 -2,354575304028675E+001 -4,183801462178761E+000 -2,354575304028675E+001 -4,183801462178761E+000 -2,354575304028675E+001 -4,183801462178761E+000 -2,354575304028675E+001 
