Frequency in GHz,dB(sub-3\s3_3)
2,-0.358851
2.00167,-0.362666
2.00333,-0.366526
2.005,-0.37043
2.00667,-0.374379
2.00833,-0.378375
2.01,-0.382417
2.01167,-0.386506
2.01333,-0.390643
2.015,-0.394829
2.01667,-0.399063
2.01833,-0.403348
2.02,-0.407682
2.02167,-0.412068
2.02333,-0.416505
2.025,-0.420995
2.02667,-0.425538
2.02833,-0.430135
2.03,-0.434786
2.03167,-0.439492
2.03333,-0.444254
2.035,-0.449074
2.03667,-0.45395
2.03833,-0.458885
2.04,-0.463879
2.04167,-0.468932
2.04333,-0.474047
2.045,-0.479222
2.04667,-0.48446
2.04833,-0.489761
2.05,-0.495126
2.05167,-0.500556
2.05333,-0.506051
2.055,-0.511613
2.05667,-0.517243
2.05833,-0.522941
2.06,-0.528708
2.06167,-0.534545
2.06333,-0.540454
2.065,-0.546434
2.06667,-0.552488
2.06833,-0.558616
2.07,-0.564819
2.07167,-0.571098
2.07333,-0.577454
2.075,-0.583888
2.07667,-0.590402
2.07833,-0.596996
2.08,-0.603671
2.08167,-0.610429
2.08333,-0.61727
2.085,-0.624197
2.08667,-0.631209
2.08833,-0.638308
2.09,-0.645496
2.09167,-0.652773
2.09333,-0.660141
2.095,-0.667601
2.09667,-0.675155
2.09833,-0.682803
2.1,-0.690546
2.10167,-0.698387
2.10333,-0.706327
2.105,-0.714366
2.10667,-0.722506
2.10833,-0.730749
2.11,-0.739097
2.11167,-0.747549
2.11333,-0.756108
2.115,-0.764776
2.11667,-0.773554
2.11833,-0.782443
2.12,-0.791444
2.12167,-0.800561
2.12333,-0.809793
2.125,-0.819142
2.12667,-0.828611
2.12833,-0.8382
2.13,-0.847912
2.13167,-0.857748
2.13333,-0.86771
2.135,-0.877799
2.13667,-0.888017
2.13833,-0.898366
2.14,-0.908848
2.14167,-0.919464
2.14333,-0.930217
2.145,-0.941107
2.14667,-0.952138
2.14833,-0.963311
2.15,-0.974628
2.15167,-0.98609
2.15333,-0.9977
2.155,-1.00946
2.15667,-1.02137
2.15833,-1.03344
2.16,-1.04566
2.16167,-1.05804
2.16333,-1.07058
2.165,-1.08328
2.16667,-1.09614
2.16833,-1.10917
2.17,-1.12237
2.17167,-1.13574
2.17333,-1.14929
2.175,-1.16301
2.17667,-1.1769
2.17833,-1.19098
2.18,-1.20524
2.18167,-1.21968
2.18333,-1.23431
2.185,-1.24913
2.18667,-1.26414
2.18833,-1.27934
2.19,-1.29474
2.19167,-1.31034
2.19333,-1.32615
2.195,-1.34215
2.19667,-1.35836
2.19833,-1.37478
2.2,-1.39141
2.20167,-1.40826
2.20333,-1.42532
2.205,-1.4426
2.20667,-1.4601
2.20833,-1.47783
2.21,-1.49578
2.21167,-1.51396
2.21333,-1.53238
2.215,-1.55102
2.21667,-1.56991
2.21833,-1.58904
2.22,-1.60841
2.22167,-1.62802
2.22333,-1.64788
2.225,-1.66799
2.22667,-1.68836
2.22833,-1.70898
2.23,-1.72986
2.23167,-1.751
2.23333,-1.7724
2.235,-1.79407
2.23667,-1.81601
2.23833,-1.83822
2.24,-1.86071
2.24167,-1.88347
2.24333,-1.90651
2.245,-1.92983
2.24667,-1.95343
