Frequency in GHz,dB(sub-3\s3_3)
2.89333,-1.58857
2.895,-1.58243
2.89667,-1.57635
2.89833,-1.57031
2.9,-1.56431
2.90167,-1.55836
2.90333,-1.55245
2.905,-1.54659
2.90667,-1.54077
2.90833,-1.535
2.91,-1.52927
2.91167,-1.52358
2.91333,-1.51793
2.915,-1.51233
2.91667,-1.50676
2.91833,-1.50124
2.92,-1.49576
2.92167,-1.49032
2.92333,-1.48492
2.925,-1.47956
2.92667,-1.47424
2.92833,-1.46895
2.93,-1.46371
2.93167,-1.4585
2.93333,-1.45334
2.935,-1.44821
2.93667,-1.44311
2.93833,-1.43806
2.94,-1.43304
2.94167,-1.42805
2.94333,-1.4231
2.945,-1.41819
2.94667,-1.41331
2.94833,-1.40847
2.95,-1.40366
2.95167,-1.39889
2.95333,-1.39415
2.955,-1.38944
2.95667,-1.38477
2.95833,-1.38013
2.96,-1.37552
2.96167,-1.37095
2.96333,-1.36641
2.965,-1.3619
2.96667,-1.35742
2.96833,-1.35297
2.97,-1.34855
2.97167,-1.34417
2.97333,-1.33981
2.975,-1.33549
2.97667,-1.33119
2.97833,-1.32693
2.98,-1.32269
2.98167,-1.31849
2.98333,-1.31431
2.985,-1.31016
2.98667,-1.30604
2.98833,-1.30195
2.99,-1.29788
2.99167,-1.29385
2.99333,-1.28984
2.995,-1.28586
2.99667,-1.2819
2.99833,-1.27797
3,-1.27407
