# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S11 ang:Trc2_S11 db:Trc3_S11 ang:Trc3_S11 db:Trc4_S11 ang:Trc4_S11 
2.020000000000000E+009 -3.813890639874993E+000 -7.591051112682021E+001 -3.813890639874993E+000 -7.591051112682021E+001 -3.813890639874993E+000 -7.591051112682021E+001 -3.813890639874993E+000 -7.591051112682021E+001 
2.025000000000000E+009 -3.847333607254979E+000 -7.680036437598180E+001 -3.847333607254979E+000 -7.680036437598180E+001 -3.847333607254979E+000 -7.680036437598180E+001 -3.847333607254979E+000 -7.680036437598180E+001 
2.030000000000000E+009 -3.878432468619997E+000 -7.764178305508648E+001 -3.878432468619997E+000 -7.764178305508648E+001 -3.878432468619997E+000 -7.764178305508648E+001 -3.878432468619997E+000 -7.764178305508648E+001 
2.035000000000000E+009 -3.906017412203561E+000 -7.842001769354998E+001 -3.906017412203561E+000 -7.842001769354998E+001 -3.906017412203561E+000 -7.842001769354998E+001 -3.906017412203561E+000 -7.842001769354998E+001 
2.040000000000000E+009 -3.917067280649694E+000 -7.916372350388366E+001 -3.917067280649694E+000 -7.916372350388366E+001 -3.917067280649694E+000 -7.916372350388366E+001 -3.917067280649694E+000 -7.916372350388366E+001 
2.045000000000000E+009 -3.914887120966224E+000 -7.993411914948102E+001 -3.914887120966224E+000 -7.993411914948102E+001 -3.914887120966224E+000 -7.993411914948102E+001 -3.914887120966224E+000 -7.993411914948102E+001 
2.050000000000000E+009 -3.903673588264241E+000 -8.079243284176123E+001 -3.903673588264241E+000 -8.079243284176123E+001 -3.903673588264241E+000 -8.079243284176123E+001 -3.903673588264241E+000 -8.079243284176123E+001 
2.055000000000000E+009 -3.893365665201286E+000 -8.164631992202185E+001 -3.893365665201286E+000 -8.164631992202185E+001 -3.893365665201286E+000 -8.164631992202185E+001 -3.893365665201286E+000 -8.164631992202185E+001 
2.060000000000000E+009 -3.880741693340435E+000 -8.257258752077294E+001 -3.880741693340435E+000 -8.257258752077294E+001 -3.880741693340435E+000 -8.257258752077294E+001 -3.880741693340435E+000 -8.257258752077294E+001 
2.065000000000000E+009 -3.864566474204181E+000 -8.343281590430858E+001 -3.864566474204181E+000 -8.343281590430858E+001 -3.864566474204181E+000 -8.343281590430858E+001 -3.864566474204181E+000 -8.343281590430858E+001 
2.070000000000000E+009 -3.837750160568635E+000 -8.438054504828133E+001 -3.837750160568635E+000 -8.438054504828133E+001 -3.837750160568635E+000 -8.438054504828133E+001 -3.837750160568635E+000 -8.438054504828133E+001 
2.075000000000000E+009 -3.812378769639587E+000 -8.537192701200011E+001 -3.812378769639587E+000 -8.537192701200011E+001 -3.812378769639587E+000 -8.537192701200011E+001 -3.812378769639587E+000 -8.537192701200011E+001 
2.080000000000000E+009 -3.776767823513938E+000 -8.639948764108567E+001 -3.776767823513938E+000 -8.639948764108567E+001 -3.776767823513938E+000 -8.639948764108567E+001 -3.776767823513938E+000 -8.639948764108567E+001 
2.085000000000000E+009 -3.746903083268373E+000 -8.750821584562895E+001 -3.746903083268373E+000 -8.750821584562895E+001 -3.746903083268373E+000 -8.750821584562895E+001 -3.746903083268373E+000 -8.750821584562895E+001 
2.090000000000000E+009 -3.720969177058423E+000 -8.865304363313869E+001 -3.720969177058423E+000 -8.865304363313869E+001 -3.720969177058423E+000 -8.865304363313869E+001 -3.720969177058423E+000 -8.865304363313869E+001 
