1.95E+09,-4.91E+00
1.96E+09,-4.99E+00
1.96E+09,-5.10E+00
1.97E+09,-5.24E+00
1.97E+09,-5.43E+00
1.98E+09,-5.63E+00
1.98E+09,-5.88E+00
1.99E+09,-6.16E+00
1.99E+09,-6.48E+00
2.00E+09,-6.84E+00
2.00E+09,-7.23E+00
2.01E+09,-7.65E+00
2.01E+09,-8.06E+00
2.02E+09,-8.46E+00
2.02E+09,-8.84E+00
2.03E+09,-9.17E+00
2.03E+09,-9.44E+00
2.04E+09,-9.63E+00
2.04E+09,-9.74E+00
2.05E+09,-9.76E+00
2.05E+09,-9.72E+00
2.06E+09,-9.61E+00
2.06E+09,-9.43E+00
2.07E+09,-9.17E+00
2.07E+09,-8.87E+00
2.08E+09,-8.58E+00
2.08E+09,-8.28E+00
2.09E+09,-8.02E+00
2.09E+09,-7.78E+00
2.10E+09,-7.55E+00
2.10E+09,-7.34E+00
2.11E+09,-7.17E+00
2.11E+09,-7.06E+00
2.12E+09,-7.00E+00
2.12E+09,-6.99E+00
2.13E+09,-7.01E+00
2.13E+09,-7.07E+00
2.14E+09,-7.17E+00
2.14E+09,-7.32E+00
2.15E+09,-7.51E+00
2.15E+09,-7.72E+00
2.16E+09,-7.92E+00
2.16E+09,-8.15E+00
2.17E+09,-8.40E+00
2.17E+09,-8.68E+00
2.18E+09,-8.99E+00
2.18E+09,-9.32E+00
2.19E+09,-9.63E+00
2.19E+09,-9.91E+00
2.20E+09,-1.02E+01
2.20E+09,-1.04E+01
2.21E+09,-1.04E+01
2.21E+09,-1.04E+01
2.22E+09,-1.03E+01
2.22E+09,-1.01E+01
2.23E+09,-9.82E+00
2.23E+09,-9.49E+00
2.24E+09,-9.13E+00
2.24E+09,-8.76E+00
2.25E+09,-8.40E+00
2.25E+09,-8.08E+00
2.26E+09,-7.78E+00
2.26E+09,-7.50E+00
2.27E+09,-7.25E+00
2.27E+09,-7.02E+00
2.28E+09,-6.83E+00
2.28E+09,-6.71E+00
2.29E+09,-6.65E+00
2.29E+09,-6.62E+00
2.30E+09,-6.62E+00
2.30E+09,-6.65E+00
2.31E+09,-6.69E+00
2.31E+09,-6.77E+00
2.32E+09,-6.93E+00
2.32E+09,-7.16E+00
2.33E+09,-7.39E+00
2.33E+09,-7.65E+00
2.34E+09,-7.94E+00
2.34E+09,-8.26E+00
2.35E+09,-8.63E+00
2.35E+09,-9.07E+00
2.36E+09,-9.55E+00
2.36E+09,-9.97E+00
2.37E+09,-1.03E+01
2.37E+09,-1.06E+01
2.38E+09,-1.08E+01
2.38E+09,-1.10E+01
2.39E+09,-1.11E+01
2.39E+09,-1.11E+01
2.40E+09,-1.10E+01
2.40E+09,-1.08E+01
2.41E+09,-1.05E+01
2.41E+09,-1.03E+01
2.42E+09,-1.01E+01
2.42E+09,-9.90E+00
2.43E+09,-9.76E+00
2.43E+09,-9.64E+00
2.44E+09,-9.49E+00
2.44E+09,-9.35E+00
2.45E+09,-9.30E+00
2.45E+09,-9.28E+00
2.46E+09,-9.30E+00
2.46E+09,-9.37E+00
2.47E+09,-9.43E+00
