bb
2.93E+09,-1.85E+00
2.94E+09,-1.84E+00
2.94E+09,-1.82E+00
2.95E+09,-1.81E+00
2.95E+09,-1.79E+00
2.96E+09,-1.78E+00
2.96E+09,-1.77E+00
2.97E+09,-1.76E+00
2.97E+09,-1.75E+00
2.98E+09,-1.73E+00
2.98E+09,-1.73E+00
2.99E+09,-1.72E+00
2.99E+09,-1.70E+00
3.00E+09,-1.69E+00
3.00E+09,-1.69E+00
