# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S11 ang:Trc2_S11 db:Trc3_S11 ang:Trc3_S11 db:Trc4_S11 ang:Trc4_S11 
2.225000000000000E+009 -4.850761836942917E+000 -4.138029709146428E+001 -4.850761836942917E+000 -4.138029709146428E+001 -4.850761836942917E+000 -4.138029709146428E+001 -4.850761836942917E+000 -4.138029709146428E+001 
2.230000000000000E+009 -4.950840395112775E+000 -4.300423516275436E+001 -4.950840395112775E+000 -4.300423516275436E+001 -4.950840395112775E+000 -4.300423516275436E+001 -4.950840395112775E+000 -4.300423516275436E+001 
2.235000000000000E+009 -5.060295622854458E+000 -4.468805114516490E+001 -5.060295622854458E+000 -4.468805114516490E+001 -5.060295622854458E+000 -4.468805114516490E+001 -5.060295622854458E+000 -4.468805114516490E+001 
2.240000000000000E+009 -5.182307732923811E+000 -4.633687661874003E+001 -5.182307732923811E+000 -4.633687661874003E+001 -5.182307732923811E+000 -4.633687661874003E+001 -5.182307732923811E+000 -4.633687661874003E+001 
2.245000000000000E+009 -5.340445033162640E+000 -4.806787127118979E+001 -5.340445033162640E+000 -4.806787127118979E+001 -5.340445033162640E+000 -4.806787127118979E+001 -5.340445033162640E+000 -4.806787127118979E+001 
2.250000000000000E+009 -5.503093218863088E+000 -4.979460128437967E+001 -5.503093218863088E+000 -4.979460128437967E+001 -5.503093218863088E+000 -4.979460128437967E+001 -5.503093218863088E+000 -4.979460128437967E+001 
2.255000000000000E+009 -5.675033479780315E+000 -5.144635224784734E+001 -5.675033479780315E+000 -5.144635224784734E+001 -5.675033479780315E+000 -5.144635224784734E+001 -5.675033479780315E+000 -5.144635224784734E+001 
2.260000000000000E+009 -5.845609537845325E+000 -5.298545492588038E+001 -5.845609537845325E+000 -5.298545492588038E+001 -5.845609537845325E+000 -5.298545492588038E+001 -5.845609537845325E+000 -5.298545492588038E+001 
2.265000000000000E+009 -6.037261117063898E+000 -5.470389012129428E+001 -6.037261117063898E+000 -5.470389012129428E+001 -6.037261117063898E+000 -5.470389012129428E+001 -6.037261117063898E+000 -5.470389012129428E+001 
2.270000000000000E+009 -6.232564810976315E+000 -5.636700809621807E+001 -6.232564810976315E+000 -5.636700809621807E+001 -6.232564810976315E+000 -5.636700809621807E+001 -6.232564810976315E+000 -5.636700809621807E+001 
2.275000000000000E+009 -6.429096172646063E+000 -5.795082541106393E+001 -6.429096172646063E+000 -5.795082541106393E+001 -6.429096172646063E+000 -5.795082541106393E+001 -6.429096172646063E+000 -5.795082541106393E+001 
2.280000000000000E+009 -6.628808691448549E+000 -5.946309901039271E+001 -6.628808691448549E+000 -5.946309901039271E+001 -6.628808691448549E+000 -5.946309901039271E+001 -6.628808691448549E+000 -5.946309901039271E+001 
2.285000000000000E+009 -6.830006867844499E+000 -6.122326460590722E+001 -6.830006867844499E+000 -6.122326460590722E+001 -6.830006867844499E+000 -6.122326460590722E+001 -6.830006867844499E+000 -6.122326460590722E+001 
2.290000000000000E+009 -7.018981290022238E+000 -6.302404822842332E+001 -7.018981290022238E+000 -6.302404822842332E+001 -7.018981290022238E+000 -6.302404822842332E+001 -7.018981290022238E+000 -6.302404822842332E+001 
2.295000000000000E+009 -7.199175129618031E+000 -6.482277009154882E+001 -7.199175129618031E+000 -6.482277009154882E+001 -7.199175129618031E+000 -6.482277009154882E+001 -7.199175129618031E+000 -6.482277009154882E+001 
2.300000000000000E+009 -7.391341488297851E+000 -6.657656808801666E+001 -7.391341488297851E+000 -6.657656808801666E+001 -7.391341488297851E+000 -6.657656808801666E+001 -7.391341488297851E+000 -6.657656808801666E+001 
2.305000000000000E+009 -7.610539107085680E+000 -6.881219076476089E+001 -7.610539107085680E+000 -6.881219076476089E+001 -7.610539107085680E+000 -6.881219076476089E+001 -7.610539107085680E+000 -6.881219076476089E+001 
2.310000000000000E+009 -7.814095361114811E+000 -7.112436530579524E+001 -7.814095361114811E+000 -7.112436530579524E+001 -7.814095361114811E+000 -7.112436530579524E+001 -7.814095361114811E+000 -7.112436530579524E+001 
2.315000000000000E+009 -8.018296959953251E+000 -7.345223167874902E+001 -8.018296959953251E+000 -7.345223167874902E+001 -8.018296959953251E+000 -7.345223167874902E+001 -8.018296959953251E+000 -7.345223167874902E+001 
